Kullanım Durumu,Tipi,Binanın Yaşı,Binanın Kat Sayısı,Net Metrekare,Brüt Metrekare,Bulunduğu Kat,Site İçerisinde,Isıtma Tipi,Banyo Sayısı,Oda Sayısı,Balkon Durumu,Aidat,Fiyat,Ilce,Mahalle
Boş,Daire,21 Ve Üzeri,3,50,55,2.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,300.0,23000.0,Çankaya,Maltepe Mahallesi
Boş,Daire,0 (Yeni),3,80,96,2.Kat,Hayır,Yerden Isıtma,2,2+1,Var,500.0,35000.0,Gölbaşı,İncek Mahallesi
Boş,Daire,11-15,3,115,120,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,18000.0,Sincan,Malazgirt Mahallesi
Boş,Daire,5-10,2,120,125,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,18000.0,Sincan,Tandoğan Mahallesi
Boş,Daire,21 Ve Üzeri,3,115,120,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,21000.0,Keçiören,Kamil Ocak Mahallesi
Boş,Daire,0 (Yeni),14,74,85,6.Kat,Evet,Merkezi (Pay Ölçer),2,2+1,Var,650.0,34000.0,Yenimahalle,Çakırlar Mahallesi
Boş,Daire,3,5,140,150,2.Kat,Hayır,Kombi Doğalgaz,2,4+1,Var,275.0,28500.0,Altındağ,Başpınar Mahallesi
Boş,Daire,5-10,5,120,130,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,275.0,25000.0,Altındağ,Feridun Çelik Mahallesi
Boş,Daire,4,5,120,130,4.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,275.0,25000.0,Altındağ,Başpınar Mahallesi
Boş,Daire,11-15,4,120,135,Kot 3 (-3).Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,100.0,18000.0,Mamak,Bostancık Mahallesi
Boş,Daire,21 Ve Üzeri,8,130,140,4.Kat,Evet,Kombi Doğalgaz,2,3+1,Var,1500.0,25000.0,Pursaklar,Tevfik İleri Mahallesi
Boş,Daire,5-10,5,160,190,4.Kat,Hayır,Kombi Doğalgaz,1,4+1,Var,200.0,40000.0,Keçiören,Ayvalı Mahallesi
