Kullanım Durumu,Tipi,Binanın Yaşı,Binanın Kat Sayısı,Net Metrekare,Brüt Metrekare,Bulunduğu Kat,Site İçerisinde,Isıtma Tipi,Banyo Sayısı,Oda Sayısı,Balkon Durumu,Aidat,Fiyat,Ilce,Mahalle
Kiracı Oturuyor,Daire,5-10,4,250,270,4.Kat,Evet,Kombi Doğalgaz,4,5+1,Var,1000.0,42000.0,Etimesgut,Ayyıldız Mahallesi
Boş,Daire,5-10,3,120,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,20000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,16-20,3,90,110,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,21000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,21 Ve Üzeri,3,115,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,18000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,11-15,4,115,130,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,22000.0,Sincan,Malazgirt Mahallesi
Boş,Daire,11-15,3,115,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,20000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,0 (Yeni),5,50,55,2.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,800.0,77500.0,Çankaya,Güvenevler Mahallesi
Boş,Daire,21 Ve Üzeri,3,105,115,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,35000.0,Çankaya,Yücetepe Mahallesi
Boş,Daire,21 Ve Üzeri,3,180,190,3.Kat,Hayır,Kombi Doğalgaz,2,5+1,Var,200.0,25000.0,Keçiören,Basınevleri Mahallesi
Boş,Daire,21 Ve Üzeri,2,100,110,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,29900.0,Keçiören,İncirli Mahallesi
Boş,Daire,0 (Yeni),13,55,65,2.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,250.0,19000.0,Pursaklar,Saray Osmangazi Mahallesi
Boş,Daire,21 Ve Üzeri,3,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,18000.0,Keçiören,Şenlik Mahallesi
Boş,Daire,16-20,11,150,160,1.Kat,Hayır,Kombi Doğalgaz,2,4+1,Var,1000.0,55000.0,Çankaya,Emek Mahallesi
Boş,Daire,21 Ve Üzeri,3,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,20000.0,Keçiören,Yakacık Mahallesi
Kiracı Oturuyor,Daire,5-10,13,55,70,2.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,2950.0,37500.0,Çankaya,İlkbahar Mahallesi
Boş,Daire,21 Ve Üzeri,3,125,130,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,19000.0,Sincan,Atatürk Mahallesi
Boş,Daire,16-20,4,125,135,4.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,26000.0,Sincan,Malazgirt Mahallesi
Boş,Daire,16-20,2,100,110,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,22000.0,Keçiören,Tepebaşı Mahallesi
Boş,Daire,2,30,90,110,29.Kat,Hayır,Merkezi Doğalgaz,2,2+1,Var,14000.0,71000.0,Yenimahalle,Emniyet Mahallesi
Boş,Daire,16-20,3,120,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,22000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,0 (Yeni),3,80,90,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,19250.0,Sincan,Fevzi Çakmak Mahallesi
Boş,Daire,11-15,3,90,100,Yüksek Giriş,Hayır,Merkezi (Pay Ölçer),1,2+1,Var,250.0,19000.0,Pursaklar,Yunus Emre Mahallesi
Boş,Daire,1,3,60,70,3.Kat,Hayır,Merkezi Doğalgaz,1,1+1,Var,850.0,38000.0,Çankaya,Büyükesat Mahallesi
Mülk Sahibi Oturuyor,Daire,21 Ve Üzeri,4,79,80,4.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,100.0,12000.0,Polatlı,Zafer Mahallesi
Boş,Daire,11-15,16,147,166,11.Kat,Hayır,Merkezi Doğalgaz,2,4+1,Var,275.0,22500.0,Altındağ,Baraj Mahallesi
Boş,Daire,21 Ve Üzeri,8,110,115,Yüksek Giriş,Hayır,Yerden Isıtma,1,3+1,Var,2200.0,25000.0,Çankaya,Keklik Pınarı Mahallesi
Kiracı Oturuyor,Daire,21 Ve Üzeri,12,76,82,4.Kat,Hayır,Merkezi (Pay Ölçer),1,2+1,Var,275.0,34000.0,Etimesgut,Göksu Mahallesi
Boş,Daire,11-15,3,90,105,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,250.0,18500.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,0 (Yeni),3,45,52,1.Kat,Hayır,Yerden Isıtma,1,1+1,Var,500.0,23000.0,Gölbaşı,İncek Mahallesi
Boş,Daire,21 Ve Üzeri,8,150,160,1.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,1500.0,42500.0,Etimesgut,Topçu Mahallesi
Boş,Daire,16-20,4,125,135,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,18000.0,Sincan,Ahi Evran Mahallesi
Kiracı Oturuyor,Daire,5-10,4,250,270,4.Kat,Evet,Kombi Doğalgaz,4,5+1,Var,1000.0,42000.0,Etimesgut,Ayyıldız Mahallesi
Boş,Daire,21 Ve Üzeri,3,110,125,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,250.0,35000.0,Çankaya,Sokullu Mehmet Paşa Mahallesi
Boş,Daire,21 Ve Üzeri,8,130,160,Yüksek Giriş,Hayır,Kombi Doğalgaz,2,3+1,Var,275.0,39200.0,Etimesgut,Bağlıca Mahallesi
Boş,Daire,21 Ve Üzeri,2,30,35,1.Kat,Hayır,Merkezi (Pay Ölçer),1,Stüdyo,Var,800.0,19750.0,Etimesgut,Bağlıca Mahallesi
Boş,Daire,5-10,3,120,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,20000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,16-20,3,90,110,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,21000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,21 Ve Üzeri,3,115,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,18000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,11-15,4,115,130,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,22000.0,Sincan,Malazgirt Mahallesi
Boş,Daire,11-15,3,115,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,20000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,0 (Yeni),5,50,55,2.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,800.0,77500.0,Çankaya,Güvenevler Mahallesi
Boş,Daire,21 Ve Üzeri,3,105,115,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,35000.0,Çankaya,Yücetepe Mahallesi
Boş,Daire,21 Ve Üzeri,3,180,190,3.Kat,Hayır,Kombi Doğalgaz,2,5+1,Var,200.0,25000.0,Keçiören,Basınevleri Mahallesi
Boş,Daire,21 Ve Üzeri,2,100,110,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,29900.0,Keçiören,İncirli Mahallesi
Boş,Daire,0 (Yeni),13,55,65,2.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,250.0,19000.0,Pursaklar,Saray Osmangazi Mahallesi
Boş,Daire,21 Ve Üzeri,4,165,175,4.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,250.0,28000.0,Keçiören,Basınevleri Mahallesi
Boş,Daire,16-20,11,150,160,1.Kat,Hayır,Kombi Doğalgaz,2,4+1,Var,1000.0,55000.0,Çankaya,Emek Mahallesi
Boş,Daire,21 Ve Üzeri,3,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,20000.0,Keçiören,Yakacık Mahallesi
Kiracı Oturuyor,Daire,5-10,13,55,70,2.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,2950.0,37500.0,Çankaya,İlkbahar Mahallesi
Boş,Daire,21 Ve Üzeri,3,125,130,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,19000.0,Sincan,Atatürk Mahallesi
Boş,Daire,16-20,4,125,135,4.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,26000.0,Sincan,Malazgirt Mahallesi
Boş,Daire,16-20,4,125,135,4.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,26000.0,Sincan,Malazgirt Mahallesi
Boş,Daire,16-20,2,100,110,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,22000.0,Keçiören,Tepebaşı Mahallesi
Boş,Daire,2,30,90,110,29.Kat,Hayır,Merkezi Doğalgaz,2,2+1,Var,14000.0,71000.0,Yenimahalle,Emniyet Mahallesi
Boş,Daire,16-20,3,120,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,22000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,0 (Yeni),3,80,90,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,19250.0,Sincan,Fevzi Çakmak Mahallesi
Boş,Daire,11-15,3,115,135,Bahçe Katı,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,20000.0,Etimesgut,30 Ağustos Mahallesi
Boş,Daire,21 Ve Üzeri,3,125,135,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,25000.0,Sincan,Mustafa Kemal Mahallesi
Boş,Daire,21 Ve Üzeri,3,90,100,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,18000.0,Mamak,Yeşilbayır Mahallesi
Boş,Daire,11-15,14,165,194,5.Kat,Hayır,Merkezi (Pay Ölçer),2,4+1,Var,275.0,27500.0,Etimesgut,Atayurt Mahallesi
Boş,Daire,11-15,14,160,190,14.Kat,Hayır,Merkezi (Pay Ölçer),2,4+1,Var,275.0,25000.0,Etimesgut,Atayurt Mahallesi
Boş,Daire,2,3,155,165,2.Kat,Hayır,Kombi Doğalgaz,2,4.5+1,Var,200.0,37000.0,Keçiören,Atapark Mahallesi
Boş,Daire,5-10,3,155,165,2.Kat,Hayır,Kombi Doğalgaz,2,4+1,Var,200.0,31000.0,Keçiören,Kanuni Mahallesi
Boş,Daire,21 Ve Üzeri,4,100,110,3.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,500.0,21000.0,Etimesgut,Oğuzlar Mahallesi
Boş,Daire,5-10,12,170,200,1.Kat,Evet,Merkezi (Pay Ölçer),2,4+1,Var,1500.0,36000.0,Pursaklar,Saray Fatih Mahallesi
Boş,Daire,5-10,10,60,70,9.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,1000.0,29000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,2,2,95,110,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,2750.0,36500.0,Çankaya,Aşağı Öveçler Mahallesi
Boş,Daire,5-10,2,85,100,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,19000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,21 Ve Üzeri,16,96,100,13.Kat,Evet,Merkezi (Pay Ölçer),1,3+1,Var,1000.0,30000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,3,15,50,60,5.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,650.0,26000.0,Yenimahalle,Cumhuriyet Mahallesi
Boş,Daire,11-15,13,100,118,11.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,1000.0,38000.0,Etimesgut,Tunahan Mahallesi
Boş,Daire,16-20,4,120,125,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,850.0,25000.0,Çankaya,Keklik Pınarı Mahallesi
Boş,Daire,21 Ve Üzeri,8,15,20,1.Kat,Hayır,Merkezi Doğalgaz,1,Stüdyo,Var,850.0,20000.0,Çankaya,Çamlıtepe Mahallesi
Boş,Daire,5-10,4,125,130,4.Kat,Hayır,Merkezi Doğalgaz,2,2+1,Var,850.0,45000.0,Çankaya,Yukarı Dikmen Mahallesi
Boş,Daire,21 Ve Üzeri,3,90,95,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,850.0,20500.0,Çankaya,Seyranbağları Mahallesi
Boş,Daire,21 Ve Üzeri,5,20,25,3.Kat,Hayır,Merkezi Doğalgaz,1,Stüdyo,Var,850.0,22000.0,Çankaya,Meşrutiyet Mahallesi
Boş,Daire,21 Ve Üzeri,4,180,190,3.Kat,Hayır,Merkezi Doğalgaz,2,4+1,Var,850.0,50000.0,Çankaya,Barbaros Mahallesi
Boş,Daire,4,4,50,55,2.Kat,Hayır,Yerden Isıtma,1,1+1,Var,850.0,38000.0,Çankaya,Oran Mahallesi
Boş,Daire,21 Ve Üzeri,5,20,25,3.Kat,Hayır,Merkezi Doğalgaz,1,Stüdyo,Var,850.0,22000.0,Çankaya,Meşrutiyet Mahallesi
Boş,Daire,0 (Yeni),4,75,85,4.Kat,Hayır,Merkezi (Pay Ölçer),1,2+1,Var,1100.0,20500.0,Yenimahalle,Yakacık Mahallesi
Boş,Daire,16-20,3,120,125,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,250.0,16000.0,Pursaklar,Merkez Mahallesi
Boş,Daire,11-15,3,55,65,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,250.0,14000.0,Pursaklar,Merkez Mahallesi
Boş,Daire,11-15,3,130,140,1.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,250.0,21000.0,Pursaklar,Merkez Mahallesi
Boş,Daire,5-10,3,115,125,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,250.0,21000.0,Pursaklar,Saray Cumhuriyet Mahallesi
Boş,Daire,5-10,3,130,145,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,23000.0,Keçiören,İncirli Mahallesi
Boş,Daire,0 (Yeni),3,70,80,2.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,100.0,32000.0,Çankaya,Seyranbağları Mahallesi
Boş,Daire,5-10,3,100,110,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,16000.0,Keçiören,Esertepe Mahallesi
Boş,Daire,21 Ve Üzeri,3,60,70,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,1+1,Var,200.0,27500.0,Keçiören,Aşağı Eğlence Mahallesi
Boş,Daire,21 Ve Üzeri,3,80,90,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,275.0,16000.0,Altındağ,Örnek Mahallesi
Boş,Daire,0 (Yeni),7,75,85,1.Kat,Evet,Merkezi (Pay Ölçer),2,2+1,Var,650.0,40900.0,Yenimahalle,Susuz Mahallesi
Boş,Daire,5-10,8,135,146,8.Kat,Hayır,Merkezi Doğalgaz,2,3+1,Var,500.0,37000.0,Yenimahalle,Ata Mahallesi
Boş,Daire,21 Ve Üzeri,9,90,100,4.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,500.0,24490.0,Yenimahalle,Demetgül Mahallesi
Boş,Daire,16-20,3,80,100,Bahçe Katı,Hayır,Kombi Doğalgaz,1,2+1,Var,100.0,25000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,11-15,3,110,120,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,28000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,0 (Yeni),21,186,212,4.Kat,Evet,Yerden Isıtma,4,3+2,Var,450.0,59500.0,Keçiören,Ovacık Mahallesi
Boş,Daire,21 Ve Üzeri,11,180,230,3.Kat,Hayır,Merkezi (Pay Ölçer),2,4+1,Var,1750.0,56500.0,Yenimahalle,Cumhuriyet Mahallesi
Boş,Daire,21 Ve Üzeri,4,100,120,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,23750.0,Keçiören,Kalaba Mahallesi
Boş,Daire,16-20,4,99,114,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,700.0,21000.0,Sincan,29 Ekim Mahallesi
Boş,Daire,21 Ve Üzeri,6,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,500.0,22000.0,Yenimahalle,Demetlale Mahallesi
Boş,Daire,21 Ve Üzeri,6,115,125,6.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,500.0,20000.0,Yenimahalle,Demetlale Mahallesi
Boş,Daire,3,4,120,130,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,35000.0,Keçiören,Esertepe Mahallesi
Boş,Daire,5-10,3,85,90,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,2+1,Var,150.0,17000.0,Mamak,Bostancık Mahallesi
Boş,Daire,21 Ve Üzeri,3,105,110,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,21500.0,Etimesgut,Kazım Karabekir Mahallesi
Boş,Daire,21 Ve Üzeri,3,80,85,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,100.0,22000.0,Altındağ,Aydınlıkevler Mahallesi
Boş,Daire,21 Ve Üzeri,4,75,85,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,100.0,13500.0,Mamak,General Zeki Doğan Mahallesi
Boş,Daire,16-20,3,85,95,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,19000.0,Sincan,Malazgirt Mahallesi
Boş,Daire,1,5,46,53,1.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,850.0,35000.0,Çankaya,Kazım Özalp Mahallesi
Boş,Daire,21 Ve Üzeri,9,160,180,4.Kat,Evet,Kombi Doğalgaz,2,4+1,Var,4500.0,63000.0,Çankaya,Çukurambar Mahallesi
Boş,Daire,21 Ve Üzeri,29,55,65,13.Kat,Hayır,Merkezi (Pay Ölçer),1,1+1,Var,500.0,42000.0,Gölbaşı,Hacılar Mahallesi
Boş,Daire,21 Ve Üzeri,8,200,230,5.Kat,Hayır,Yerden Isıtma,2,4+1,Var,1000.0,48000.0,Yenimahalle,Yukarı Yahyalar Mahallesi
Boş,Daire,21 Ve Üzeri,3,100,110,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,1200.0,42000.0,Çankaya,Mebusevleri Mahallesi
Boş,Daire,21 Ve Üzeri,3,120,130,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,30000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,16-20,4,90,100,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,18000.0,Sincan,29 Ekim Mahallesi
Boş,Daire,16-20,4,100,110,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,21000.0,Etimesgut,Atakent Mahallesi
Boş,Daire,16-20,3,90,95,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,275.0,18500.0,Etimesgut,Topçu Mahallesi
Boş,Daire,11-15,3,220,230,3.Kat,Hayır,Kombi Doğalgaz,2,4+1,Var,300.0,47000.0,Yenimahalle,Pamuklar Mahallesi
Boş,Daire,21 Ve Üzeri,4,50,130,4.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,300.0,27000.0,Çankaya,Doğuş Mahallesi
Kiracı Oturuyor,Daire,11-15,3,230,250,3.Kat,Hayır,Kombi Doğalgaz,4,3+1,Var,2000.0,100000.0,Çankaya,Gaziosmanpaşa Mahallesi
Kiracı Oturuyor,Daire,21 Ve Üzeri,5,110,125,2.Kat,Hayır,Merkezi Doğalgaz,1,3+1,Var,2500.0,33000.0,Çankaya,Küçükesat Mahallesi
Boş,Daire,21 Ve Üzeri,3,55,60,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,1.5+1,Var,100.0,38000.0,Çankaya,Yukarı Bahçelievler Mahallesi
Boş,Daire,21 Ve Üzeri,4,90,95,Yüksek Giriş,Hayır,Kombi Doğalgaz,Yok,2+1,Var,100.0,30000.0,Çankaya,Bahçelievler Mahallesi
Boş,Daire,1,3,45,50,3.Kat,Hayır,Merkezi Doğalgaz,1,1+1,Var,850.0,30000.0,Çankaya,Yaşamkent Mahallesi
Boş,Daire,21 Ve Üzeri,3,55,60,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,500.0,19000.0,Yenimahalle,Çiğdemtepe Mahallesi
Boş,Daire,5-10,14,160,165,2.Kat,Evet,Merkezi (Pay Ölçer),2,4+1,Var,1000.0,51000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,11-15,3,80,90,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,850.0,41000.0,Çankaya,Emek Mahallesi
Kiracı Oturuyor,Daire,21 Ve Üzeri,3,80,90,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,850.0,30000.0,Çankaya,Bahçelievler Mahallesi
Boş,Daire,0 (Yeni),3,40,50,Bahçe Katı,Hayır,Kombi Doğalgaz,1,1+1,Var,850.0,35000.0,Çankaya,Emek Mahallesi
Boş,Daire,21 Ve Üzeri,3,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,850.0,39000.0,Çankaya,Emek Mahallesi
Boş,Daire,21 Ve Üzeri,3,90,100,Düz Giriş (Zemin),Hayır,Merkezi Doğalgaz,1,3+1,Var,850.0,18000.0,Çankaya,Harbiye Mahallesi
Boş,Daire,21 Ve Üzeri,3,100,110,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,25000.0,Mamak,Saimekadın Mahallesi
Boş,Daire,16-20,3,100,110,Bahçe Katı,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,19000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,4,3,130,150,3.Kat,Hayır,Kombi Doğalgaz,2,3.5+1,Var,200.0,33000.0,Keçiören,Ovacık Mahallesi
Boş,Daire,21 Ve Üzeri,7,75,87,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,150.0,23000.0,Yenimahalle,Demetgül Mahallesi
Boş,Daire,11-15,8,190,220,6.Kat,Evet,Merkezi (Pay Ölçer),2,4+1,Var,2950.0,85000.0,Çankaya,Yıldızevler Mahallesi
Boş,Daire,11-15,4,140,150,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,20500.0,Polatlı,Şehitlik Mahallesi
Boş,Daire,5-10,12,72,76,12.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Yok,1750.0,37000.0,Etimesgut,Yeni Bağlıca Mahallesi
Boş,Daire,1,4,85,95,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,18000.0,Sincan,Menderes Mahallesi
Boş,Daire,5-10,30,85,90,16.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,2950.0,36000.0,Çankaya,İlkbahar Mahallesi
Boş,Daire,21 Ve Üzeri,7,100,110,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,650.0,20000.0,Etimesgut,Oğuzlar Mahallesi
Boş,Daire,21 Ve Üzeri,2,63,68,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,1+1,Var,300.0,14990.0,Altındağ,Yıldıztepe Mahallesi
Boş,Daire,11-15,5,120,130,5.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,500.0,32000.0,Yenimahalle,Yukarı Yahyalar Mahallesi
Boş,Daire,0 (Yeni),4,30,32,1.Kat,Hayır,Merkezi Doğalgaz,1,1+1,Var,850.0,25500.0,Çankaya,Konutkent Mahallesi
Boş,Daire,5-10,5,145,155,1.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,250.0,40000.0,Çankaya,Aşıkpaşa Mahallesi
Boş,Daire,0 (Yeni),3,100,110,Düz Giriş (Zemin),Evet,Kombi Doğalgaz,1,3+1,Var,1009.0,13000.0,Beypazarı,Ayvaşık Mahallesi
Boş,Daire,16-20,3,120,135,2.Kat,Hayır,Kombi Doğalgaz,1,4+1,Var,100.0,25000.0,Mamak,Saimekadın Mahallesi
Mülk Sahibi Oturuyor,Daire,21 Ve Üzeri,4,100,110,Düz Giriş (Zemin),Hayır,Merkezi Doğalgaz,1,2+1,Yok,1638.0,45000.0,Çankaya,Ayrancı Mahallesi
Boş,Daire,5-10,2,70,80,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,850.0,32000.0,Çankaya,Seyranbağları Mahallesi
Boş,Daire,21 Ve Üzeri,4,75,85,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,100.0,26000.0,Çankaya,100. Yıl Mahallesi
Boş,Daire,21 Ve Üzeri,3,75,85,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,850.0,40000.0,Çankaya,Emek Mahallesi
Kiracı Oturuyor,Daire,2,4,80,90,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,850.0,55000.0,Çankaya,Bahçelievler Mahallesi
Boş,Daire,11-15,3,110,115,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,275.0,25000.0,Etimesgut,Kazım Karabekir Mahallesi
Kiracı Oturuyor,Daire,11-15,9,90,120,7.Kat,Hayır,Merkezi (Pay Ölçer),1,2+1,Var,3500.0,40000.0,Çankaya,Hilal Mahallesi
Boş,Daire,16-20,7,120,130,2.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,250.0,22000.0,Sincan,29 Ekim Mahallesi
Boş,Daire,11-15,4,110,120,2.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,725.0,23000.0,Mamak,Harman Mahallesi
Boş,Daire,11-15,4,115,130,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,19900.0,Keçiören,Atapark Mahallesi
Boş,Daire,5-10,3,110,130,3.Kat,Hayır,Kombi Doğalgaz,3,2+1,Var,850.0,65000.0,Çankaya,Yücetepe Mahallesi
Boş,Daire,16-20,3,200,230,3.Kat,Hayır,Kombi Doğalgaz,2,5+1,Var,200.0,23500.0,Keçiören,Köşk Mahallesi
Boş,Daire,21 Ve Üzeri,3,110,120,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,500.0,20000.0,Yenimahalle,Demetevler Mahallesi
Boş,Daire,11-15,14,50,55,9.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,1000.0,28000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,11-15,3,120,125,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,21000.0,Sincan,Ahi Evran Mahallesi
Boş,Daire,5-10,14,30,33,8.Kat,Evet,Merkezi (Pay Ölçer),1,Stüdyo,Var,1000.0,19000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,5-10,14,48,55,13.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,1000.0,23000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,21 Ve Üzeri,4,120,130,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,23500.0,Sincan,29 Ekim Mahallesi
Boş,Daire,16-20,6,180,200,Yüksek Giriş,Hayır,Kombi Doğalgaz,2,4+1,Var,1500.0,65000.0,Çankaya,Kızılırmak Mahallesi
Boş,Daire,16-20,3,105,120,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,22000.0,Mamak,Başak Mahallesi
